E,,,,,,,,,,,,,,,,,,,,,,,,,,,frostball,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,,,O,o,O,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,,,int,[CENTER],int,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,spell_water_damage,O,magic_shield,,,,magic_shield,O,int,,,mana_regen,,mana_regen,,,str,o,armor,,,,armor,O,water_weapon_damage,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,O,,,O,,,o,,,O,,,,o,,,,O,,,o,,,O,,,O,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,spell_water_damage,,,,blizzard,O,O,magic_shield_regen,,,heart_of_ice,o,int,o,int,o,str,o,tidal_wave,,,health_regen,O,O,whirlpool,,,,water_weapon_damage,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,O,,,O,,,,,,O,,,,O,,,,O,,,,,,O,,,O,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,spell_water_damage,O,magic_shield,,,,heart_of_ice_healing,O,heart_of_ice_mana_cost,O,heart_of_ice_mana_cost,,O,,tidal_wave_projectile_speed,O,tidal_wave_mana_cost,O,tidal_wave_projectile_speed,,,,armor,O,water_weapon_damage,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,O,,,,water_resist,,,,O,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,heart_of_ice_magic_shield,,,O,,O,,,tidal_wave_damage,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,,,water_resist,,water_resist,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,,,,health,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,health,,,flower_of_ice,,,health,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,flower_of_ice_healing,O,flower_of_ice_mana_cost,,,,flower_of_ice_mana_cost,O,flower_of_ice_healing,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,,,O,flower_of_ice_mana_restore,O,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
