E,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,int,,[CENTER],,str,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,int,,,,str,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,o,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,mana_regen,O,mana,,,,,,,health,,,,,,,health,O,health_regen,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,O,,,,,,,,,O,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,blazing_inferno,O,mana_regen,O,O,fire_bombs,O,mana_regen,O,big_health,O,health_regen,O,throw_flames,O,O,health_regen,O,magma_flower,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,O,,,,,O,,,,,,,,O,,,,,O,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,mana_regen,O,mana,,,O,,,,,,,,O,,,health,O,health_regen,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,int,O,spell_fire_damage,O,big_crit_damage,O,fire_weapon_damage,O,str,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,spell_fire_damage,O,big_crit_hit,O,fire_weapon_damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,spell_fire_damage,,,,fire_weapon_damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,o,volcano,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
